"D_mc.chi.1.all","ox","D_mc.Z.1.all","mc.Z.1.all","D_mc.S.1.all","mc.S.1.all","mc.Z.0.all","mc.Z.2.all","mc.S.0.all","mc.chi.0.all","alpha","D_lc.Z.1.eq","D_lc.chi.1.eq","lc.Z.0.eq","lc.chi.0.eq","mc.chi.1.all","D_mc.chi.2.all","mc.S.2.all","D_mc.Z.2.all","f.S.1.all","f.S.2.all","D_mc.S.2.all","f.chi.3.all","f.S.0.all","mc.chi.2.all","f.Z.1.all","f.Z.3.all","f.Z.2.all","f.chi.0.all","f.Z.0.all","f.chi.1.all","f.S.3.all","f.chi.2.all","mc.S.3.all","mc.chi.3.all","lc.Z.0.ax","D_mc.Z.3.all","lc.chi.0.ax","D_mc.S.3.all","f.I.3.all","D_lc.Z.1.ax"
-7.96,2,110,1000,3.8,6.3106,625,650,1.9321,2.4025,0.2,18,2.52,49,9.2416,26.753,-10.78,8.2566,324,62.432,101.4702,13.52,2268.1496,23.5531,50.344,4256,5504,5596,384.8271,1749,827.854,130.1776,1472.6702,2.1406,7.905,36,38,6.5025,1.24,368,-1
-7.76,2,118,1188,3.1,5.6196,729,432,1.5876,3.5344,0,18,2.52,49,9.2416,35.7952,-5.12,7.4592,416,20.06,35.3274,14.24,1119.36,7.0938,66.176,2608,1176,2504,141.608,1069,292.6464,43.9856,569.76,0,0,64,0,11.8336,0,160,14
-4.14,2,86,2052,1.94,7.0812,729,1080,1.5876,3.5344,0.15,10,0.03,256,6.6564,28.9896,-5.8,5.7204,122,27.314,43.7978,3.02,484.7488,12.6224,32.1104,5400,6632,7736,129.8086,2293,207.7152,50.058,325.1122,3.78,22.8608,36,80,6.5025,2.04,68,-2
-9.36,2,114,1296,3.18,5.5188,729,972,1.5876,3.5344,0.2,2,0.89,64,11.8336,38.8032,-4.02,5.8212,126,28.0854,47.5146,2.94,711.6672,11.5398,28.764,3960,6048,5784,184.5526,1713,327.1494,47.6106,765.0672,5.5188,38.8032,64,114,11.8336,3.18,78,2
-9.66,2,108,1248,3.12,5.475,676,936,1.5625,3.3489,0.15,2,0.89,64,11.8336,37.7712,-4.32,5.775,120,45.6,74.5434,2.88,1479.027,16.939,27.999,4224,6960,5994,288.048,1624,606.1464,91.4658,1278.459,8.6625,41.9985,64,180,11.8336,4.32,210,2
-9.66,2,108,1248,3.12,5.475,676,936,1.5625,3.3489,0.1,2,0.89,64,11.8336,37.7712,-4.32,5.775,120,45.6,74.5434,2.88,1479.027,16.939,27.999,4224,6960,5994,288.048,1624,606.1464,91.4658,1278.459,8.6625,41.9985,64,180,11.8336,4.32,210,2
-6.28,2,116,1040,2.96,5.675,676,1248,1.5625,3.3489,0.05,13,2.17,49,9.2416,31.5858,-9.06,9.375,316,29.5884,56.293,10,1424.5296,10.6261,63.4644,2960,3536,4484,180.4375,1232,383.0536,75.1412,800.849,3.7,32.208,36,200,6.5025,7.04,228,-2
-6.1,2,116,1040,2.96,5.675,676,832,1.5625,3.3489,0.3,-1,-0.49,36,6.5025,31.2564,-6.32,5.6,176,18.1308,28.9218,5.52,593.4336,7.7975,38.3568,2480,2160,2996,109.3525,1148,185.0728,33.8976,338.1228,0,0,64,0,11.8336,0,80,14
-7.4,2,124,1232,2.8,5.3966,784,1064,1.4641,3.6481,0,2,0.89,64,11.8336,36.0226,-4.82,5.5418,130,36.2032,58.9954,2.68,1150.4836,14.0259,31.0948,3784,5656,5204,224.9357,1586,456.7892,72.1704,935.8518,5.5902,29.223,36,132,6.5025,2.64,160,-1
-7.4,2,124,1232,2.8,5.3966,784,1064,1.4641,3.6481,0.05,2,0.89,64,11.8336,36.0226,-4.82,5.5418,130,36.2032,58.9954,2.68,1150.4836,14.0259,31.0948,3784,5656,5204,224.9357,1586,456.7892,72.1704,935.8518,5.5902,29.223,36,132,6.5025,2.64,160,-1
-4.14,2,86,2052,1.94,7.0812,729,1080,1.5876,3.5344,0,10,0.03,256,6.6564,28.9896,-5.8,5.7204,122,27.314,43.7978,3.02,484.7488,12.6224,32.1104,5400,6632,7736,129.8086,2293,207.7152,50.058,325.1122,3.78,22.8608,36,80,6.5025,2.04,68,-2
-11.34,2,102,1200,3.96,6.0882,625,900,1.9321,2.4025,0.2,2,0.89,64,11.8336,31.992,-6,6.4218,114,46.8264,75.837,3.72,1466.175,17.3086,23.715,4128,6852,5922,287.1016,1573,594.588,93.4062,1269.891,9.6327,35.5725,64,171,11.8336,5.58,210,2
-9.36,2,114,1296,3.18,5.5188,729,972,1.5876,3.5344,0.25,2,0.89,64,11.8336,38.8032,-4.02,5.8212,126,28.0854,47.5146,2.94,711.6672,11.5398,28.764,3960,6048,5784,184.5526,1713,327.1494,47.6106,765.0672,5.5188,38.8032,64,114,11.8336,3.18,78,2
-11.34,2,102,1200,3.96,6.0882,625,900,1.9321,2.4025,0.25,2,0.89,64,11.8336,31.992,-6,6.4218,114,46.8264,75.837,3.72,1466.175,17.3086,23.715,4128,6852,5922,287.1016,1573,594.588,93.4062,1269.891,9.6327,35.5725,64,171,11.8336,5.58,210,2
-8.06,2,112,1144,3.04,5.575,676,728,1.5625,3.3489,0.25,1,0.49,49,9.2416,34.8432,-4.36,5.7,180,24.214,34.6434,5.44,638.7312,11.9591,34.77,3456,5392,3968,135.9781,2172,244.8784,44.0944,453.5336,5.1,18.8856,64,40,11.8336,0.92,88,14
-8.06,2,112,1144,3.04,5.575,676,728,1.5625,3.3489,0.2,1,0.49,49,9.2416,34.8432,-4.36,5.7,180,24.214,34.6434,5.44,638.7312,11.9591,34.77,3456,5392,3968,135.9781,2172,244.8784,44.0944,453.5336,5.1,18.8856,64,40,11.8336,0.92,88,14
-7.26,2,114,1092,3,5.625,676,1248,1.5625,3.3489,0.15,13,2.17,49,9.2416,33.3792,-8.76,11.325,420,35.235,70.0758,13.44,1914.912,11.7805,76.311,3216,3864,4950,213.9735,1210,493.9494,95.4744,1068.846,5.55,48.312,49,300,9.2416,10.56,312,13
-7.76,2,118,1188,3.1,5.6196,729,972,1.5876,3.5344,0.15,13,2.17,49,9.2416,35.7952,-6.52,9.4752,396,29.39,56.441,12.64,1597.408,10.013,68.808,3128,3008,4216,186.978,1217,416.9284,74.2664,884.848,3.7296,33.088,64,208,11.8336,7.12,248,14
-5.8,2,128,1120,2.72,5.4934,784,728,1.4641,3.6481,0.2,18,2.52,49,9.2416,32.9666,-5.74,7.1874,366,19.9568,34.8362,11,929.6896,7.6677,62.0368,2576,1744,2812,130.1827,1162,257.4532,44.9652,488.1698,0,0,36,0,6.5025,0,140,-1
-3.84,2,132,1008,2.64,5.5902,784,1176,1.4641,3.6481,0.3,-1,-0.49,36,6.5025,29.223,-6.78,5.445,126,18.1104,28.677,2.76,465.12,8.3965,34.8384,2520,2520,3432,98.1127,1294,151.47,34.65,264.7518,0,0,36,0,6.5025,0,60,-1
-6.76,2,76,2080,2,6.875,676,364,1.5625,3.3489,0.25,0,0,289,9.9856,32.4642,-2.42,1.875,38,56.9008,93.3894,1,1526.0264,23.2111,11.1264,6248,5856,8840,330.6695,2748,678.7644,98.9712,1291.899,1.925,9.333,36,40,6.5025,0.96,248,-1
-7.76,2,118,1188,3.1,5.6196,729,972,1.5876,3.5344,0.2,13,2.17,49,9.2416,35.7952,-6.52,9.4752,396,29.39,56.441,12.64,1597.408,10.013,68.808,3128,3008,4216,186.978,1217,416.9284,74.2664,884.848,3.7296,33.088,64,208,11.8336,7.12,248,14
-5.8,2,128,1120,2.72,5.4934,784,728,1.4641,3.6481,0.3,18,2.52,49,9.2416,32.9666,-5.74,7.1874,366,19.9568,34.8362,11,929.6896,7.6677,62.0368,2576,1744,2812,130.1827,1162,257.4532,44.9652,488.1698,0,0,36,0,6.5025,0,140,-1
-7.76,2,118,1188,3.1,5.6196,729,972,1.5876,3.5344,0.25,13,2.17,49,9.2416,35.7952,-6.52,9.4752,396,29.39,56.441,12.64,1597.408,10.013,68.808,3128,3008,4216,186.978,1217,416.9284,74.2664,884.848,3.7296,33.088,64,208,11.8336,7.12,248,14
-6.28,2,116,1040,2.96,5.675,676,988,1.5625,3.3489,0.05,1,0.49,49,9.2416,31.5858,-5.3,5.725,118,65.404,99.2414,2.92,1848.0488,28.0739,29.7924,5272,9648,7144,380.3291,2956,791.6556,129.6376,1378.1526,7.025,28.2186,36,80,6.5025,1.88,296,-1
-6.28,2,116,1040,2.96,5.675,676,988,1.5625,3.3489,0,1,0.49,49,9.2416,31.5858,-5.3,5.725,118,65.404,99.2414,2.92,1848.0488,28.0739,29.7924,5272,9648,7144,380.3291,2956,791.6556,129.6376,1378.1526,7.025,28.2186,36,80,6.5025,1.88,296,-1
-7.76,2,118,1188,3.1,5.6196,729,972,1.5876,3.5344,0.1,13,2.17,49,9.2416,35.7952,-6.52,9.4752,396,29.39,56.441,12.64,1597.408,10.013,68.808,3128,3008,4216,186.978,1217,416.9284,74.2664,884.848,3.7296,33.088,64,208,11.8336,7.12,248,14
-8.94,2,108,1050,3.84,6.255,625,750,1.9321,2.4025,0.2,1,0.49,49,9.2416,28.272,-7.9,7.367,220,26.7432,39.3718,8.6,743.352,12.6617,36.27,3288,5300,3878,139.5277,2093,251.448,51.0924,470.6136,5.6712,15.996,49,36,9.2416,1.48,108,18
-8.94,2,108,1050,3.84,6.255,625,750,1.9321,2.4025,0.25,1,0.49,49,9.2416,28.272,-7.9,7.367,220,26.7432,39.3718,8.6,743.352,12.6617,36.27,3288,5300,3878,139.5277,2093,251.448,51.0924,470.6136,5.6712,15.996,49,36,9.2416,1.48,108,18
-7.26,2,114,1092,3,5.625,676,468,1.5625,3.3489,0.25,18,2.52,49,9.2416,33.3792,-6.66,8.325,450,21.24,38.4534,15.84,1203.84,7.4017,72.468,2436,1260,2442,145.9185,988,307.5264,49.95,596.424,0,0,49,0,9.2416,0,180,18
-7.26,2,114,1092,3,5.625,676,468,1.5625,3.3489,0.2,18,2.52,49,9.2416,33.3792,-6.66,8.325,450,21.24,38.4534,15.84,1203.84,7.4017,72.468,2436,1260,2442,145.9185,988,307.5264,49.95,596.424,0,0,49,0,9.2416,0,180,18
-10.54,2,104,1150,3.92,6.1438,625,750,1.9321,2.4025,0.25,2,0.89,64,11.8336,30.752,-7.9,7.367,220,38.7176,63.9942,8.6,1404.65,14.1295,36.27,3536,4940,4742,239.7251,1361,495.496,78.812,1036.73,6.4218,23.715,49,114,9.2416,3.72,200,18
-10.54,2,104,1150,3.92,6.1438,625,750,1.9321,2.4025,0.2,2,0.89,64,11.8336,30.752,-7.9,7.367,220,38.7176,63.9942,8.6,1404.65,14.1295,36.27,3536,4940,4742,239.7251,1361,495.496,78.812,1036.73,6.4218,23.715,49,114,9.2416,3.72,200,18
-7.76,2,118,1188,3.1,5.6196,729,1404,1.5876,3.5344,0.05,2,0.98,49,9.2416,35.7952,-6.64,9.6264,272,60.216,106.3562,7.48,2105.558,21.871,54.896,5032,9988,8128,317.028,1937,747.8064,146.2856,1400.912,9.6264,54.896,64,272,11.8336,7.48,320,14
-6.96,2,120,1134,3.06,5.67,729,1944,1.5876,3.5344,0.15,2,0.98,49,9.2416,34.2912,-8.04,11.6424,252,70.8918,123.7854,5.88,2345.079,26.0352,57.528,5508,12408,9618,370.219,2127,875.0454,172.6458,1613.022,14.4396,82.344,49,408,9.2416,11.22,366,2
-7.76,2,118,1188,3.1,5.6196,729,1404,1.5876,3.5344,0,2,0.98,49,9.2416,35.7952,-6.64,9.6264,272,60.216,106.3562,7.48,2105.558,21.871,54.896,5032,9988,8128,317.028,1937,747.8064,146.2856,1400.912,9.6264,54.896,64,272,11.8336,7.48,320,14
-7.26,2,114,1092,3,5.625,676,1248,1.5625,3.3489,0.3,13,2.17,49,9.2416,33.3792,-8.76,11.325,420,35.235,70.0758,13.44,1914.912,11.7805,76.311,3216,3864,4950,213.9735,1210,493.9494,95.4744,1068.846,5.55,48.312,49,300,9.2416,10.56,312,13
-4.38,2,100,1456,2.38,6.4,676,1144,1.5625,3.3489,0.3,-2,-0.89,36,6.5025,28.1088,-7.88,5.575,112,22.7484,35.972,3.04,505.14,10.4573,34.5138,3848,4888,5216,121.4943,1758,183.7176,41.782,297.0072,1.875,11.1264,256,38,6.6564,1,64,10
-7.88,2,112,1144,3.04,5.575,676,988,1.5625,3.3489,0.1,2,0.89,64,11.8336,34.5138,-5.3,5.725,118,65.666,105.7766,2.92,1976.4024,25.9255,29.7924,5288,8624,7804,411.4059,2248,849.2256,128.026,1597.8518,5.575,34.5138,36,112,6.5025,3.04,300,-1
-7.88,2,112,1144,3.04,5.575,676,988,1.5625,3.3489,0.15,2,0.89,64,11.8336,34.5138,-5.3,5.725,118,65.666,105.7766,2.92,1976.4024,25.9255,29.7924,5288,8624,7804,411.4059,2248,849.2256,128.026,1597.8518,5.575,34.5138,36,112,6.5025,3.04,300,-1
-6.28,2,116,1040,2.96,5.675,676,1040,1.5625,3.3489,0.3,1,0.49,49,9.2416,31.5858,-6.1,5.675,116,24.5016,34.6458,2.96,530.2688,12.5973,31.2564,3376,6000,4308,129.6231,2240,212.9076,44.5548,373.1946,5.1,18.8856,36,40,6.5025,0.92,68,-2
-6.96,2,120,1134,3.06,5.67,729,972,1.5876,3.5344,0.05,1,0.49,49,9.2416,34.2912,-4.02,5.8212,126,27.6948,37.6974,2.94,523.3248,14.7624,28.764,3924,7704,4758,137.9374,2775,240.5544,50.0724,428.8944,7.7112,29.1024,49,66,9.2416,1.44,72,1
-6.96,2,120,1134,3.06,5.67,729,972,1.5876,3.5344,0,1,0.49,49,9.2416,34.2912,-4.02,5.8212,126,27.6948,37.6974,2.94,523.3248,14.7624,28.764,3924,7704,4758,137.9374,2775,240.5544,50.0724,428.8944,7.7112,29.1024,49,66,9.2416,1.44,72,1
-4.32,2,120,936,2.88,5.775,676,1092,1.5625,3.3489,0.2,-1,-0.49,36,6.5025,27.999,-7.26,5.625,114,18.48,29.037,3,465.12,8.4949,33.3792,2376,2520,3264,97.8135,1186,149.022,34.65,261.8334,0,0,36,0,6.5025,0,60,-1
-4.32,2,120,936,2.88,5.775,676,1092,1.5625,3.3489,0.25,-1,-0.49,36,6.5025,27.999,-7.26,5.625,114,18.48,29.037,3,465.12,8.4949,33.3792,2376,2520,3264,97.8135,1186,149.022,34.65,261.8334,0,0,36,0,6.5025,0,60,-1
-6.78,2,126,1176,2.76,5.445,784,2016,1.4641,3.6481,0.3,2,0.98,49,9.2416,34.8384,-7.68,11.1804,264,70.4418,122.8614,5.28,2347.707,25.9117,58.446,5592,12564,9762,370.3327,2182,876.1398,171.4998,1614.858,13.8666,83.658,49,426,9.2416,10.32,366,2
-5.54,2,98,1508,2.44,6.325,676,728,1.5625,3.3489,0,-1,-0.49,36,6.5025,30.2316,-4.84,3.75,76,98.9516,157.763,2,3022.3824,38.9791,22.2528,7192,10480,9978,598.0765,3086,1288.1352,195.3024,2287.2068,3.85,18.666,289,80,9.9856,1.92,496,0
-6.96,2,120,1134,3.06,5.67,729,1944,1.5876,3.5344,0,2,0.98,49,9.2416,34.2912,-8.04,11.6424,252,81.564,145.1298,5.88,2697.537,29.5926,57.528,6156,14262,10914,409.234,2343,992.0904,203.6064,1847.112,14.4396,82.344,49,408,9.2416,11.22,420,2
-7.26,2,114,1092,3,5.625,676,468,1.5625,3.3489,0.15,18,2.52,49,9.2416,33.3792,-6.66,8.325,450,21.24,38.4534,15.84,1203.84,7.4017,72.468,2436,1260,2442,145.9185,988,307.5264,49.95,596.424,0,0,49,0,9.2416,0,180,18
-6.22,2,76,2080,1.96,6.925,676,728,1.5625,3.3489,0,10,0.03,256,6.6564,31.476,-4.36,5.7,180,26.914,43.5318,5.44,584.9296,11.9591,34.77,5328,5104,7604,135.9781,2172,238.144,49.5808,397.1928,3.75,22.2528,64,76,11.8336,2,88,14
-9.36,2,114,1296,3.18,5.5188,729,324,1.5876,3.5344,0,14,2.48,64,11.8336,38.8032,-3.84,5.5944,312,17.52,28.8186,10.68,908.16,6.4278,49.632,2784,960,2580,132.616,1125,259.2384,32.412,512.352,0,0,64,0,11.8336,0,120,14
-9.36,2,114,1296,3.18,5.5188,729,324,1.5876,3.5344,0.05,14,2.48,64,11.8336,38.8032,-3.84,5.5944,312,17.52,28.8186,10.68,908.16,6.4278,49.632,2784,960,2580,132.616,1125,259.2384,32.412,512.352,0,0,64,0,11.8336,0,120,14
-9.66,2,108,1248,3.12,5.475,676,936,1.5625,3.3489,0.25,2,0.89,64,11.8336,37.7712,-4.32,5.775,120,27.9978,47.4222,2.88,709.6032,11.5147,27.999,3864,5952,5712,184.3671,1660,325.0854,47.523,763.5372,5.475,37.7712,64,108,11.8336,3.12,78,2
-5.98,2,122,1080,3.02,5.7204,729,1242,1.5876,3.5344,0.15,13,2.17,49,9.2416,32.4488,-7.56,9.5004,332,70.5816,121.0394,10.1,2744.5796,26.1278,63.6944,4936,7224,7412,431.329,2001,963.5276,160.314,1809.195,5.67,42.676,36,250,6.5025,8.1,456,-1
-6.28,2,116,1040,2.96,5.675,676,1040,1.5625,3.3489,0.25,1,0.49,49,9.2416,31.5858,-6.1,5.675,116,24.5016,34.6458,2.96,530.2688,12.5973,31.2564,3376,6000,4308,129.6231,2240,212.9076,44.5548,373.1946,5.1,18.8856,36,40,6.5025,0.92,68,-2
-6.28,2,116,1040,2.96,5.675,676,1040,1.5625,3.3489,0.2,1,0.49,49,9.2416,31.5858,-6.1,5.675,116,24.5016,34.6458,2.96,530.2688,12.5973,31.2564,3376,6000,4308,129.6231,2240,212.9076,44.5548,373.1946,5.1,18.8856,36,40,6.5025,0.92,68,-2
-6.78,2,126,1176,2.76,5.445,784,1008,1.4641,3.6481,0.1,1,0.49,49,9.2416,34.8384,-3.84,5.5902,132,27.2448,37.2354,2.64,524.2536,14.6389,29.223,4008,7896,4830,138.0511,2830,241.6488,49.4604,429.8124,7.4052,29.5668,49,72,9.2416,1.14,72,1
-6.78,2,126,1176,2.76,5.445,784,1008,1.4641,3.6481,0.15,1,0.49,49,9.2416,34.8384,-3.84,5.5902,132,27.2448,37.2354,2.64,524.2536,14.6389,29.223,4008,7896,4830,138.0511,2830,241.6488,49.4604,429.8124,7.4052,29.5668,49,72,9.2416,1.14,72,1
-7.26,2,114,1092,3,5.625,676,936,1.5625,3.3489,0.3,1,0.49,49,9.2416,33.3792,-4.32,5.775,120,27.6048,37.605,2.88,521.7768,14.7373,27.999,3840,7512,4686,137.7519,2722,238.7304,49.95,427.3644,7.65,28.3284,49,60,9.2416,1.38,72,1
-9.66,2,108,1248,3.12,5.475,676,936,1.5625,3.3489,0.1,2,0.89,64,11.8336,37.7712,-4.32,5.775,120,73.782,123.8646,2.88,2414.703,27.4753,27.999,5664,9066,8562,443.6655,2176,974.8764,155.0442,1934.004,5.775,27.999,64,120,11.8336,2.88,378,2
-5.86,2,108,1680,2.22,6.0984,784,1232,1.4641,3.6481,0.3,13,2.17,49,9.2416,33.0812,-6.16,9.1718,348,33.6384,62.8416,9.36,1401.8456,12.6677,62.839,4600,5600,6460,188.8655,1822,408.2804,85.9476,832.738,5.3966,45.2288,256,258,6.6564,7.64,232,10
-7.76,2,118,1188,3.1,5.6196,729,432,1.5876,3.5344,0.15,18,2.52,49,9.2416,35.7952,-5.12,7.4592,416,20.06,35.3274,14.24,1119.36,7.0938,66.176,2608,1176,2504,141.608,1069,292.6464,43.9856,569.76,0,0,64,0,11.8336,0,160,14
-7.76,2,118,1188,3.1,5.6196,729,432,1.5876,3.5344,0.1,18,2.52,49,9.2416,35.7952,-5.12,7.4592,416,20.06,35.3274,14.24,1119.36,7.0938,66.176,2608,1176,2504,141.608,1069,292.6464,43.9856,569.76,0,0,64,0,11.8336,0,160,14
-9.36,2,114,1296,3.18,5.5188,729,972,1.5876,3.5344,0.15,2,0.89,64,11.8336,38.8032,-4.02,5.8212,126,28.0854,47.5146,2.94,711.6672,11.5398,28.764,3960,6048,5784,184.5526,1713,327.1494,47.6106,765.0672,5.5188,38.8032,64,114,11.8336,3.18,78,2
-9.36,2,114,1296,3.18,5.5188,729,972,1.5876,3.5344,0.1,2,0.89,64,11.8336,38.8032,-4.02,5.8212,126,28.0854,47.5146,2.94,711.6672,11.5398,28.764,3960,6048,5784,184.5526,1713,327.1494,47.6106,765.0672,5.5188,38.8032,64,114,11.8336,3.18,78,2
-5,2,124,1026,2.98,5.7708,729,918,1.5876,3.5344,0.1,-1,-0.49,36,6.5025,30.6064,-6.56,6.5772,236,19.4916,32.277,7.38,683.4496,8.1556,47.6768,2472,2164,3050,114.034,1173,203.4848,39.8652,373.9788,0,0,49,0,9.2416,0,100,18
-5,2,124,1026,2.98,5.7708,729,918,1.5876,3.5344,0.15,-1,-0.49,36,6.5025,30.6064,-6.56,6.5772,236,19.4916,32.277,7.38,683.4496,8.1556,47.6768,2472,2164,3050,114.034,1173,203.4848,39.8652,373.9788,0,0,49,0,9.2416,0,100,18
-8.94,2,108,1050,3.84,6.255,625,900,1.9321,2.4025,0.3,1,0.49,49,9.2416,28.272,-6,6.4218,114,28.8648,38.8986,3.72,513.108,15.1069,23.715,3756,7320,4614,136.8055,2671,228.516,51.6636,418.7964,8.5068,23.994,49,54,9.2416,2.22,72,1
-9.66,2,108,1248,3.12,5.475,676,936,1.5625,3.3489,0.05,2,0.89,64,11.8336,37.7712,-4.32,5.775,120,45.6,74.5434,2.88,1479.027,16.939,27.999,4224,6960,5994,288.048,1624,606.1464,91.4658,1278.459,8.6625,41.9985,64,180,11.8336,4.32,210,2
-6.28,2,116,1040,2.96,5.675,676,1248,1.5625,3.3489,0.15,13,2.17,49,9.2416,31.5858,-9.06,9.375,316,29.5884,56.293,10,1424.5296,10.6261,63.4644,2960,3536,4484,180.4375,1232,383.0536,75.1412,800.849,3.7,32.208,36,200,6.5025,7.04,228,-2
-7.4,2,124,1232,2.8,5.3966,784,1064,1.4641,3.6481,0.3,2,0.89,64,11.8336,36.0226,-4.82,5.5418,130,36.2032,58.9954,2.68,1150.4836,14.0259,31.0948,3784,5656,5204,224.9357,1586,456.7892,72.1704,935.8518,5.5902,29.223,36,132,6.5025,2.64,160,-1
-11.34,2,102,1200,3.96,6.0882,625,900,1.9321,2.4025,0.15,2,0.89,64,11.8336,31.992,-6,6.4218,114,46.8264,75.837,3.72,1466.175,17.3086,23.715,4128,6852,5922,287.1016,1573,594.588,93.4062,1269.891,9.6327,35.5725,64,171,11.8336,5.58,210,2
-11.34,2,102,1200,3.96,6.0882,625,900,1.9321,2.4025,0.1,2,0.89,64,11.8336,31.992,-6,6.4218,114,46.8264,75.837,3.72,1466.175,17.3086,23.715,4128,6852,5922,287.1016,1573,594.588,93.4062,1269.891,9.6327,35.5725,64,171,11.8336,5.58,210,2
-6.96,2,120,1134,3.06,5.67,729,1296,1.5876,3.5344,0.3,13,2.17,49,9.2416,34.2912,-7.86,11.4156,438,35.325,70.257,13.62,1917.552,11.8056,78.396,3300,3888,5046,214.159,1263,495.7734,95.5632,1073.016,5.5944,49.632,49,312,9.2416,10.68,312,13
-10.54,2,104,1150,3.92,6.1438,625,900,1.9321,2.4025,0.3,2,0.89,64,11.8336,30.752,-6,6.4218,114,40.8392,63.521,3.72,1148.486,16.5747,23.715,4004,7008,5478,237.0029,1939,472.564,79.492,984.9128,9.2574,31.713,49,132,9.2416,4.46,164,1
-7.88,2,112,1144,3.04,5.575,676,988,1.5625,3.3489,0,2,0.89,64,11.8336,34.5138,-5.3,5.725,118,36.56,59.3618,2.92,1148.0356,14.1243,29.7924,3608,5512,5052,224.6365,1478,453.7716,72.54,933.247,5.775,27.999,36,120,6.5025,2.88,160,-1
-9.36,2,114,1296,3.18,5.5188,729,972,1.5876,3.5344,0.25,2,0.89,64,11.8336,38.8032,-4.02,5.8212,126,45.6876,74.6358,2.94,1481.322,16.9641,28.764,4320,7068,6066,288.2335,1677,608.2104,91.6044,1279.989,8.7318,43.146,64,189,11.8336,4.41,210,2
-9.36,2,114,1296,3.18,5.5188,729,972,1.5876,3.5344,0.2,2,0.89,64,11.8336,38.8032,-4.02,5.8212,126,45.6876,74.6358,2.94,1481.322,16.9641,28.764,4320,7068,6066,288.2335,1677,608.2104,91.6044,1279.989,8.7318,43.146,64,189,11.8336,4.41,210,2
-7.96,2,110,1000,3.8,6.3106,625,1000,1.9321,2.4025,0.15,1,0.49,49,9.2416,26.753,-7.78,6.3106,110,25.7728,35.917,3.8,524.4896,12.9669,26.474,3296,5872,4228,128.6767,2189,203.242,45.6972,363.6298,5.6712,15.996,36,36,6.5025,1.48,68,-2
-8.56,2,116,1242,3.14,5.5692,729,540,1.5876,3.5344,0.3,14,2.48,64,11.8336,37.2992,-3.9,5.67,250,20.9116,31.775,8.1,768.0416,9.206,42.676,3164,3272,3298,134.3898,1675,253.0104,38.2892,483.2528,2.5704,9.7008,49,22,9.2416,0.48,104,1
-7.58,2,118,1188,3.1,5.6196,729,1026,1.5876,3.5344,0.2,2,0.89,64,11.8336,35.4568,-5,5.7708,124,36.6492,59.4534,2.98,1149.5656,14.1494,30.6064,3696,5584,5128,224.822,1531,455.6576,72.6324,934.875,5.8212,28.764,36,126,6.5025,2.94,160,-1
-7.58,2,118,1188,3.1,5.6196,729,1026,1.5876,3.5344,0.25,2,0.89,64,11.8336,35.4568,-5,5.7708,124,36.6492,59.4534,2.98,1149.5656,14.1494,30.6064,3696,5584,5128,224.822,1531,455.6576,72.6324,934.875,5.8212,28.764,36,126,6.5025,2.94,160,-1
-4.14,2,86,2052,1.94,7.0812,729,1080,1.5876,3.5344,0.05,10,0.03,256,6.6564,28.9896,-5.8,5.7204,122,27.314,43.7978,3.02,484.7488,12.6224,32.1104,5400,6632,7736,129.8086,2293,207.7152,50.058,325.1122,3.78,22.8608,36,80,6.5025,2.04,68,-2
-8.94,2,108,1050,3.84,6.255,625,750,1.9321,2.4025,0.15,1,0.49,49,9.2416,28.272,-7.9,7.367,220,26.7432,39.3718,8.6,743.352,12.6617,36.27,3288,5300,3878,139.5277,2093,251.448,51.0924,470.6136,5.6712,15.996,49,36,9.2416,1.48,108,18
-8.38,2,122,1288,2.84,5.3482,784,840,1.4641,3.6481,0.15,2,0.89,64,11.8336,37.8944,-4.3,6.413,250,37.1264,62.0862,6.8,1415.666,13.6615,44.694,3812,5156,4922,240.9707,1520,509.7808,77.1488,1053.578,5.5902,29.223,49,132,9.2416,2.64,200,18
-8.38,2,122,1288,2.84,5.3482,784,840,1.4641,3.6481,0.1,2,0.89,64,11.8336,37.8944,-4.3,6.413,250,37.1264,62.0862,6.8,1415.666,13.6615,44.694,3812,5156,4922,240.9707,1520,509.7808,77.1488,1053.578,5.5902,29.223,49,132,9.2416,2.64,200,18
-3.84,2,132,1008,2.64,5.5902,784,1176,1.4641,3.6481,0.1,-1,-0.49,36,6.5025,29.223,-6.78,5.445,126,35.2968,50.7102,2.76,725.526,14.4181,34.8384,3240,4752,4152,224.2477,1528,446.454,56.0868,757.7898,5.5902,29.223,36,132,6.5025,2.64,108,-1
-3.84,2,132,1008,2.64,5.5902,784,1176,1.4641,3.6481,0.15,-1,-0.49,36,6.5025,29.223,-6.78,5.445,126,35.2968,50.7102,2.76,725.526,14.4181,34.8384,3240,4752,4152,224.2477,1528,446.454,56.0868,757.7898,5.5902,29.223,36,132,6.5025,2.64,108,-1
-3.84,2,132,1008,2.64,5.5902,784,1344,1.4641,3.6481,0.3,-2,-0.89,36,6.5025,29.223,-9.18,5.2998,120,17.9256,28.3866,2.88,526.32,8.2189,39.4224,2592,2880,3768,113.6647,1384,163.71,33.726,273.9198,0,0,36,0,6.5025,0,60,-2
